guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
54,7/21/2023,5:30 PM,7:00 PM,All You Need To Know About Anime Rap (An Interactive WorkShop) (starts at 5:30 PM),AMV,Panel,Tekko Staff,This panel explores the intertwined history of anime and rap music through time in AMV. We will educate the audience of anime and hip hop cross overs in the genre. Then we will explore anime drip and what show has the best style. Finally we discuss tips that we use and take questions from the audience on how to write impactful music that has an anime aesthetic
56,7/21/2023,7:00 PM,8:00 PM,Synthwave Apocalypse,AMV,AMV,Tekko Staff,
56,7/21/2023,8:00 PM,9:00 PM,AMVs Can Be So Romantic,AMV,AMV,Tekko Staff,"Ah, an hour of the videos that tug at those emotional (or nostalgic) heartstrings."
57,7/21/2023,9:00 PM,10:00 PM,Coming to an AMV Theater Near You!,AMV,AMV,Tekko Staff,"A preview of all sorts of coming attractions ... well, if they starred your favorite anime characters!"
58,7/21/2023,10:00 PM,11:00 PM,Evangelion ReDeath: Redux (16+),AMV,AMV,Tekko Staff,"The remastered version of Studio Sokodei's parody hit, exploring a young man's journey to find out what it means to ""get some"", even when he has no idea what that ""something"" is."
59,7/21/2023,11:00 PM,12:00 AM,Welcome to the new REALity (18+ - LV),AMV,AMV,Tekko Staff,
60,7/21/2023,10:00 AM,10:30 AM,Kitty Cat Story Time (Ages 12 & under),Chibi,Panel,Tekko Staff, Stop by for a purrrfectly cozy kitty cat story time. Read a book or two with us and make a craft to take home. Kids age 12 and under welcome with their families.
61,7/21/2023,4:00 PM,5:00 PM,Poke-Pops (Ages 12 & under),Chibi,Panel,Brandi Cooper,I Choose You... to come pick your favorite Pokemon! In this panel all Chibi will be able to pick a Pokemon to turn into a lollipop holder (lollipop included). Kids age 12 and under welcome with their families. 
62,7/21/2023,11:00 AM,12:00 PM,Ghibli Fun (Ages 12 & under),Chibi,Panel,Tekko Staff,"Take the nearest Cat Bus or come by broomstick and head over to Chibi. Kids will have the choice between a number of Ghibli themed crafts. A totoro lacing card for tiny tots, a small fuzzy soot sprite, or bath tokens to share with friends. ""Just follow your heart and keep smiling!"" Kids age 12 and under and their families welcome."
63,7/21/2023,1:00 PM,2:00 PM,Chibi Facepainting (Ages 12 & under),Chibi,Panel,Brandi Cooper,"Stop by the Chibi room for face painting (or it can be placed on an arm). There will be a lot of popular options to choose from including Pokémon, Hello Kitty, Studio Ghibli, superheroes, and other Chibi favorites!"
64,7/21/2023,6:00 PM,8:00 PM,E-For Everyone (All ages),Chibi,Panel,Tekko Staff,"Rated E-For Everyone, stop by Chibi to see what fun assortment of crafts and activities we have for the young and young at heart! All ages welcome. "
65,7/21/2023,10:00 AM,8:00 PM,Model Kit Room Open,Model Competition,N/A,Tekko Staff,Scale model room is open for people to come in to view kits on display and to build kits of their own.
65,7/21/2023,11:00 AM,12:00 PM,JoJo’s Bizarre Adventure Photo Meet-Up,Photospot B,Photoshoot,N/A,"Hamon users, Spin users and Stand users are all welcome to this meetup! "
66,7/21/2023,12:00 PM,1:00 PM,Legend of Zelda Photo Meet-Up,Photospot D,Photoshoot,N/A,Photoshoot for any LOZ cosplayers!
67,7/21/2023,12:00 PM,12:30 PM,Hypnosis Microphone Photo Meet-Up,Photospot C,Photoshoot,N/A,"Yaa yaa yaa, minna genki?? Grab your mics and ENTER THE HEXAGON with us at the Hypnosis Microphone photoshoot! "
68,7/21/2023,12:30 PM,1:15 PM,MXTX/Danmei Photo Meet-Up,Photospot E,Photoshoot,N/A,"A gathering for danmei fans of all types regardless if you're a fan or a cosplayer, come join us and hang out with fellow danmei fans!"
69,7/21/2023,1:00 PM,1:45 PM,Sk-8 the Infinity Photo Meet-Up,Photospot C,Photoshoot,N/A,"Don't know how to skate? Neither do we, come pretend to know what your doing with us at the Sk8 meet-up! "
70,7/21/2023,1:00 PM,1:30 PM,Soul Eater Photo Meet-Up,Photospot A,Photoshoot,N/A,"Cosplayers or fans alike, come hang out to take pictures and eat some souls! "
71,7/21/2023,1:30 PM,2:30 PM,Pokemon Photo Meet-Up,Photospot E,Photoshoot,N/A,Be your very best at the Pokemon meet up!
72,7/21/2023,2:00 PM,3:00 PM,Bungou Stray Dogs Photo Meet-Up,Photospot B,Photoshoot,N/A,"Maybe the real Bungo Stray Dogs are the friends we found along the way… we welcome all fans, cosplayers, and literature enthusiasts!"
73,7/21/2023,1:00 PM,1:45 PM,One Piece Photo Meet-Up,Photospot D,Photoshoot,N/A,Come join the Strawhats and many of your other favorite pirate crews at the One Piece meet-up!
74,7/21/2023,2:00 PM,3:00 PM,Genshin Impact Photo Meet-Up,Photospot A,Photoshoot,N/A,Cosplayers and fans are all welcome at the Genshin photo meet-up! Take some pictures and meet other Travelers!
75,7/21/2023,3:00 PM,4:00 PM,My Hero Academia Photo Meet-Up,Photospot B,Photoshoot,N/A,Ready to go Plus Ultra? Join us at the My Hero photoshoot. All are welcome.
76,7/21/2023,3:00 PM,4:00 PM,Demon Slayer Photo Meet-Up,Photospot D,Photoshoot,N/A,"Demon Slayers and Demons one and all, come show off your cosplay and hang with others in the fandom!!"
77,7/21/2023,3:00 PM,3:30 PM,Minecraft YouTube Photo Meet-Up,Photospot A,Photoshoot,N/A,"From Hermits to Empires, L'Manburg to Quesadilla Island, and Lovely Worlds alike. Calling fans of mining and crafting to join together at the MCYT meet up! All servers welcome!"
78,7/21/2023,4:00 PM,4:30 PM,Black Butler Photo Meet-Up,Photospot B,Photoshoot,N/A,"Black Butler cosplayers and fans, join us for simply one hell of a meetup! "
79,7/21/2023,4:15 PM,4:45 PM,Vocaloid/CFM Photo Meet-Up,Photospot C,Photoshoot,N/A,Meetup with fans of the vocaloid media while taking or watching photos of the craft and cosplay!
80,7/21/2023,5:00 PM,5:30 PM,Gundam Photo Meet-Up,Photospot D,Photoshoot,N/A,"A cosplay meetup for fans of any series, movie, or OVA in the Mobile Suit Gundam franchise."
81,7/21/2023,5:00 PM,6:00 PM,She-Ra Photo Meet-Up,Photospot E,Photoshoot,N/A,For the honor of greyskull for cosplayers and fellow fans at the She-ra meet up! He-man fans invited too!
82,7/21/2023,5:00 PM,6:00 PM,Fate/Grand Order Photo Meet-Up,Photospot A,Photoshoot,N/A,"Come fight for the Holy Grail with your fellow Masters, and complain about ""Rate-up is a lie"" at the Fate/Grand Order meetup! All Fate series welcome."
83,7/21/2023,5:00 PM,6:00 PM,Honkai Star Rail/Honkai Impact 3rd Photo Meet-Up,Photospot B,Photoshoot,N/A,All trailblazers and captains are welcome to come show off their cosplays and meet with fellow fans of the Honkai games!
84,7/21/2023,6:00 PM,6:45 PM,Trigun Photo Meet-Up,Photospot C,Photoshoot,N/A,"All Trigun fans are welcome to come to the Trigun Photomeetup! Whether OG or Stampede fans, come snag pics of all your favorite characters and meet new friends! "
